payment_id,subscription_id,invoice_id,name,email,phone,amount,failure_code,retry_count,consent_status,current_state,timestamp
pay_3gyrDO1xkxwnQr,sub_S7RPeMOkIUpkDy,inv_r7OSJoRu1XXdo0,Amit Reddy,amit.reddy61@example.com,+918149938334,499,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-07 18:56:00
pay_TunPFz46PDjqip,sub_VJIqVLB5LzxoiG,inv_FfWd3hjOkYRBMe,Gaurav Choudhury,gaurav.choudhury86@example.com,+919010258946,2999,CHECKOUT_ABANDONED,0,True,EXHAUSTED,2026-08-09 17:55:00
pay_8aRUhR4IWrXPvh,sub_sBkDa9U4UqGWlG,inv_6g3Ot1OGMmjxWk,Rahul Trivedi,rahul.trivedi51@example.com,+919098545541,499,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-04 14:56:00
pay_1Ztpdp4K8ffUF0,sub_eWIXiiQE8JkqH3,inv_MB9n7IWUSmTtzQ,Ritu Sen,ritu.sen76@example.com,+918939118223,499,NETWORK_TIMEOUT,1,True,EXHAUSTED,2026-08-08 12:04:00
pay_vbLJoLoaeTOdoe,sub_5c3veGprQFnIiU,inv_74KKEpYEZAmggQ,Aparna Iyer,aparna.iyer64@example.com,+918765670844,1999,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-24 09:43:00
pay_PPgdzUvZ3gpmmI,sub_CiBlrDp37eCZ32,inv_JgdPI1af7W2pkA,Preeti Pillai,preeti.pillai37@example.com,+918722454917,499,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-06 15:00:00
pay_yq7YYDsBS9UYJQ,sub_TFjmsn9dLVIdVu,inv_ddLEG62Hkd9Gf2,Kiran Patel,kiran.patel86@example.com,+917291889680,4999,NETWORK_TIMEOUT,1,True,RECOVERED,2026-08-08 15:07:00
pay_84KpLMcNfAQLKH,sub_u7qnQTupqziQPt,inv_Du7W7eaDNKgeIn,Sanjay Singh,sanjay.singh54@example.com,+917295456419,999,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-12 13:10:00
pay_C1ITtNZPHaQ0Jt,sub_7Qg84iqh4gVJjr,inv_sMnTvnRO2qGFq5,Sneha Patel,sneha.patel91@example.com,+918819244083,1499,CARD_EXPIRED,0,True,EXHAUSTED,2026-08-02 09:21:00
pay_XiOqkVCJTBJahe,sub_84S5jIc1xLJjBi,inv_ctx57Y3c5wnRpQ,Suresh Iyer,suresh.iyer81@example.com,+918745377599,2999,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-24 11:59:00
pay_7p3kZZl4AblV7v,sub_Y7AZQ3VZprkYSg,inv_y3c2Eom06Dwt0Y,Manish Rao,manish.rao13@example.com,+919834820954,999,MANDATE_REVOKED,0,True,EXHAUSTED,2026-08-13 14:17:00
pay_3e9XrwPGzR1Iv8,sub_bh4qlL9qcgMBwU,inv_YuBMGhy5KmqcTB,Rahul Mishra,rahul.mishra78@example.com,+919950028965,4999,NETWORK_TIMEOUT,1,True,RECOVERED,2026-08-24 20:42:00
pay_mxBe8Q6vNuQ2hU,sub_5tGtQAuzSsJimA,inv_Q8yRV5lNKtzJ1a,Swati Mehta,swati.mehta36@example.com,+918846355528,2999,INSUFFICIENT_FUNDS,0,True,EXHAUSTED,2026-08-20 19:20:00
